client_id	path	audio	sentence	up_votes	down_votes	age	gender	accents	locale	segment
002	clips/liepa_0020100101.wav	clips/liepa_0020100101.wav	lietuviškieji kryžiai _pauze liaudies mažosios architektūros sachralinio krikščioniško turinio statiniai	0	0	teens	female		lt	
002	clips/liepa_0020100102.wav	clips/liepa_0020100102.wav	jie yra sudaryti iš architektūrinių _pauze dekoratyvinių ir skulptūrinių formų	0	0	teens	female		lt	
002	clips/liepa_0020100103.wav	clips/liepa_0020100103.wav	tai savotiška amato meno bei tikėjimo sintezė	0	0	teens	female		lt	
002	clips/liepa_0020100104.wav	clips/liepa_0020100104.wav	joje jungiasi skulptūros _pauze kalvystės bei tapybos elementai	0	0	teens	female		lt	
002	clips/liepa_0020100105.wav	clips/liepa_0020100105.wav	tradicinių kryžių darymas lietuvių liaudies meno šaka	0	0	teens	female		lt	
002	clips/liepa_0020100105.wav	clips/liepa_0020100105.wav	įrašyta į junesko žmonijos _ikvepimas nematerelaus žodyno paveldo šedevrų sąrašą	0	0	teens	female		lt	
002	clips/liepa_0020100106.wav	clips/liepa_0020100106.wav	koplystulpiai _ikvepimas koplytėlės pasižymi formų _pauze įvairove	0	0	teens	female		lt	
002	clips/liepa_0020100107.wav	clips/liepa_0020100107.wav	lotyniško kryžiaus ssskersinė sssija _ikvepimas yra trumpesnė už stačią	0	0	teens	female		lt	
002	clips/liepa_0020100108.wav	clips/liepa_0020100108.wav	grikiškojo kryžiaus abi sssijos yra vienodo ilgio _ikvepimas ir ssikerta ties viduriu	0	0	teens	female		lt	
002	clips/liepa_0020100109.wav	clips/liepa_0020100109.wav	kryžiai geležinėmis viršūnėmis _ikvepimas ornamentuoti kryžiai _pauze saulutės	0	0	teens	female		lt	
002	clips/liepa_0020100109.wav	clips/liepa_0020100109.wav	įvairių siužetų medinės skulptūros laikoma vertingiausiu palikimu	0	0	teens	female		lt	
002	clips/liepa_0020100110.wav	clips/liepa_0020100110.wav	kryždirbystę tyrinėję krašto muziejaus specialistai surengė iš viso šimtą ekspedicijų	0	0	teens	female		lt	
002	clips/liepa_0020100111.wav	clips/liepa_0020100111.wav	džamo mineretas stovi kalnų apsuptame slėnyje	0	0	teens	female		lt	
002	clips/liepa_0020100112.wav	clips/liepa_0020100112.wav	ankoras _pauze didžiulis šventyklų rūmų vandens telkinių ir kanalų kompleksas kambodža	0	0	teens	female		lt	
002	clips/liepa_0020100113.wav	clips/liepa_0020100113.wav	susidomėjimo stounhedžui duoda nežinomas statybos būdas	0	0	teens	female		lt	
002	clips/liepa_0020100113.wav	clips/liepa_0020100113.wav	nežinia kaip čia buvo atgabenti ir į _pauze tokį aukštį pakelti tonas sveriantys luitai	0	0	teens	female		lt	
002	clips/liepa_0020100114.wav	clips/liepa_0020100114.wav	naujap hiphipotezė _pauze stounhedžas įkurtas kaip didžiulis kapinynas	0	0	teens	female		lt	
002	clips/liepa_0020100115.wav	clips/liepa_0020100115.wav	didžioji kinų siena puikiai prisitaikyta _ikvepimas prie reljefo	0	0	teens	female		lt	
002	clips/liepa_0020100115.wav	clips/liepa_0020100115.wav	vingiuoja palei upių vagas _pauze slėnius ir kalnus	0	0	teens	female		lt	
002	clips/liepa_0020100116.wav	clips/liepa_0020100116.wav	senąjame goa įsikūrė portugalų kolonizatoriai	0	0	teens	female		lt	
002	clips/liepa_0020100117.wav	clips/liepa_0020100117.wav	tebrizas nuo senovės buvo svarbus prekybinis centras prie šilko kelio	0	0	teens	female		lt	
002	clips/liepa_0020100117.wav	clips/liepa_0020100117.wav	tad jo turgus turėjo strateginę reikšmę	0	0	teens	female		lt	
002	clips/liepa_0020100118.wav	clips/liepa_0020100118.wav	turistus vienuolynai stebina unikalių freksų _pauze ikonų bei _pauze drožinių kolekcijomis	0	0	teens	female		lt	
002	clips/liepa_0020100119.wav	clips/liepa_0020100119.wav	taip pat svaigina užburančiaisiais _pauze kalnų vaizdais	0	0	teens	female		lt	
002	clips/liepa_0020100120.wav	clips/liepa_0020100120.wav	įspūdigiausias vienuolynų architektūrinis akcentas _ikvepimas frontoną puošiančios _ikvepimas voliutos	0	0	teens	female		lt	
002	clips/liepa_0020100120.wav	clips/liepa_0020100120.wav	kupolinės lubos _pauze sunkūs mediniai balkonai	0	0	teens	female		lt	
002	clips/liepa_0020100121.wav	clips/liepa_0020100121.wav	viršutiniai aukštai regis kybo ore	0	0	teens	female		lt	
002	clips/liepa_0020100122.wav	clips/liepa_0020100122.wav	o patalpas įžengiama pro aukštus nelygiais reljefais papuoštus portalus	0	0	teens	female		lt	
002	clips/liepa_0020100123.wav	clips/liepa_0020100123.wav	pakilus laiptais _ikvepimas atsiduriame centrinėje patalpoje kurios sienos iškobtos laidojimo _pauze nišos	0	0	teens	female		lt	
002	clips/liepa_0020100124.wav	clips/liepa_0020100124.wav	verčiamassi žemdirbyste žvejyba medžio raižyba	0	0	teens	female		lt	
002	clips/liepa_0020100125.wav	clips/liepa_0020100125.wav	čia daug mažų siaurų celių _pauze bendri valgomie	0	0	teens	female		lt	
002	clips/liepa_0020100126.wav	clips/liepa_0020100126.wav	labas	0	0	teens	female		lt	
002	clips/liepa_0020100127.wav	clips/liepa_0020100127.wav	mano gimtadienis yra pavasarį _pauze esu smulkaus sudėjimo	0	0	teens	female		lt	
002	clips/liepa_0020100128.wav	clips/liepa_0020100128.wav	mano akys pilkos _pauze gyvenu su mama ir tėčiu	0	0	teens	female		lt	
002	clips/liepa_0020100129.wav	clips/liepa_0020100129.wav	aš mėgstu žaisti sportuoti piešti žiūrėti televizorių	0	0	teens	female		lt	
002	clips/liepa_0020100130.wav	clips/liepa_0020100130.wav	man skauda galvą gerklę sloguoju kosėju _pauze turiu temperatūros	0	0	teens	female		lt	
002	clips/liepa_0020100131.wav	clips/liepa_0020100131.wav	aš peršalau	0	0	teens	female		lt	
002	clips/liepa_0020100132.wav	clips/liepa_0020100132.wav	kelias dienas geriu vaistus nuo temperatūros nuo kosulio vaistus nuo skausmo	0	0	teens	female		lt	
002	clips/liepa_0020100201.wav	clips/liepa_0020100201.wav	Meksikoje esantis senovinis ir unikalus majų šventyklų miestas	0	0	teens	female		lt	
002	clips/liepa_0020100202.wav	clips/liepa_0020100202.wav	archeologiniai radiniai rodo _ikvepimas jog čia gyveno labai specializuoti amatininkai _ikvepimas juvelyras _pauze kauladirbys	0	0	teens	female		lt	
002	clips/liepa_0020100204.wav	clips/liepa_0020100204.wav	aprašymuose atsiskleidžia _ikvepimas mauzoliejaus ir kapaviečių _ikvepimas grandioziškumas	0	0	teens	female		lt	
002	clips/liepa_0020100206.wav	clips/liepa_0020100206.wav	gyventojų buitis ir tradicijos _ikvepimas nesikeitė _pauze ginčai sprendžiami taikiai	0	0	teens	female		lt	
002	clips/liepa_0020100207.wav	clips/liepa_0020100207.wav	tačiau tokia geografinė padpadėtis leido jam tapti klėstinčiu karavanų ir prekybos centru	0	0	teens	female		lt	
002	clips/liepa_0020100209.wav	clips/liepa_0020100209.wav	džamo mineretas stovi kalnų apsuptame slėnyje	0	0	teens	female		lt	
002	clips/liepa_0020100211.wav	clips/liepa_0020100211.wav	Lietuvos didysis kunigaikštis Vytautas fundavo pirmosios bažnyčios statybą	0	0	teens	female		lt	
002	clips/liepa_0020100213.wav	clips/liepa_0020100213.wav	po Hetitų imperijos žlugimo visas regionas papuolė į krizę	0	0	teens	female		lt	
002	clips/liepa_0020100215.wav	clips/liepa_0020100215.wav	pirmasis europietis aptikęs krioklį jį pavadino tuometinės Anglijos karalienės garbei	0	0	teens	female		lt	
002	clips/liepa_0020100217.wav	clips/liepa_0020100217.wav	į salas traukė viso pasaulio gamtininkai _ikvepimas keliautojai nuotykių ieškotojai _pauze banginių medžiotojai	0	0	teens	female		lt	
002	clips/liepa_0020100221.wav	clips/liepa_0020100221.wav	ežere ir jo aplinkėse _ikvepimas buvo aptikta apie šimtą skirtingų gyvūnų rūšių	0	0	teens	female		lt	
002	clips/liepa_0020100225.wav	clips/liepa_0020100225.wav	išsilydžiusios uolienos _pauze auštant _ikvepimas čaižant vėjams jos kietėjo ir skeldėjo	0	0	teens	female		lt	
002	clips/liepa_0020100227.wav	clips/liepa_0020100227.wav	šis smiltainio monolitas _pauze yra tik milžiniško luito viršūnė	0	0	teens	female		lt	
002	clips/liepa_0020100229.wav	clips/liepa_0020100229.wav	didelė dalis lietuvių liaudies muzikos _ikvepimas yra labai archajiška	0	0	teens	female		lt	
002	clips/liepa_0020100230.wav	clips/liepa_0020100230.wav	sveiki	0	0	teens	female		lt	
002	clips/liepa_0020100232.wav	clips/liepa_0020100232.wav	prašau man pasverti saldainių	0	0	teens	female		lt	
002	clips/liepa_0020100234.wav	clips/liepa_0020100234.wav	ar galėčiau gauti krepšelį pirkiniams	0	0	teens	female		lt	
002	clips/liepa_0020100236.wav	clips/liepa_0020100236.wav	pasilikite grąžą	0	0	teens	female		lt	
002	clips/liepa_0020100238.wav	clips/liepa_0020100238.wav	iki	0	0	teens	female		lt	
007	clips/liepa_0070100101.wav	clips/liepa_0070100101.wav	lietuviškieji kryžiai _ikvepimas liaudiess mažosios architektūros sakralinio krikščioniškojo turinio statiniai	0	0	teens	female		lt	
